Topic,Count,Representation,Representative_Docs
31,11,"['windkraftausbau', 'subventionierung', 'projekten', 'windenergie', 'flugreise', 'windparks', 'klimaneutralisiert', 'länder', 'mischwälder', 'utopischen', 'unternehmerinnen', 'windmüllern']","['Aber da können wir uns aufgrund der dynamischen Entwicklung bei Strombedarf und Mobilitätswende, Wasserstoffindustrie nicht abschließend sicher sein, zumal uns Wind über Wald noch bei anderen Themen helfen könnte, das war auch die Aussage einiger Sachverständiger, wenn nämlich die dadurch generierten Erträge in den Waldumbau und damit klimastabile Mischwälder fließen.', 'Die Flugreise wird dann beispielsweise durch die Subventionierung von Windparks in aller Herren Länder nachträglich klimaneutralisiert, dafür stehen viele Organisationen mit abenteuerlichen, aber nicht immer seriösen Projekten bereit.', 'Die Flugreise wird dann beispielsweise durch die Subventionierung von Windparks in aller Herren Länder nachträglich klimaneutralisiert, dafür stehen viele Organisationen mit abenteuerlichen, aber nicht immer seriösen Projekten bereit.']"
32,11,"['koalitionsvertrag', 'sächsischen', 'koalition', 'geeinigt', 'koalitionsparteien', 'klimaschulen', 'ausschreibungen', 'artenschutzpolitik', 'raumordnung', 'energieeinspeisegesetz', 'dezentralisieren', 'mischwald']","['Mit Blick auf den Klimawandel werden die Koalitionsparteien in einem breiten Dialog die notwendige Novellierung des Sächsischen Waldgesetzes vorbereiten und dabei die spezifischen sächsischen Strukturen beim erforderlichen Waldumbau hin zum naturnahen und langfristig klimastabilen Mischwald berücksichtigen.', 'Wir müssen uns in der Koalition aber vermutlich auch noch einmal tief in die Augen blicken und hinterfragen, ob die im sächsischen Koalitionsvertrag getroffenen Vereinbarungen zur Klima- und Energiepolitik, zur Raumordnung und zur Landesentwicklungsplanung in dieser Legislaturperiode ausreichend sind.', 'Als Koalitionsparteien haben wir uns deshalb im aktuell geltenden sächsischen Koalitionsvertrag zwischen CDU, BÜNDNISGRÜNEN und SPD – hier auf Seite 52 festgehalten – gleichberechtigt zu verstärkten Bemühungen zur Reduzierung von Lärm und CO2-Emissionen verständigt und zur weitgehenden Abschaffung der kurzen Südabkurvung am Flughafen Leipzig/Halle.']"
33,11,"['veröffentlichungen', 'information', 'öffentlichkeitsarbeit', 'publikationen', 'beratung', 'energieeffizienz', 'energieund', 'klimaschutzes', 'digital', 'gewährleistung', 'infokampagne', 'agenden']","['Ihre Aufgabe ist die Beratung und die Information im Bereich des Klimaschutzes und der Energieeffizienz.', 'Für uns sind Publikationen und Veröffentlichungen im Bereich zu den Themen Klimawandel und Energiewende wichtige Beiträge zur Öffentlichkeitsarbeit.', 'Für uns sind Publikationen und Veröffentlichungen im Bereich zu den Themen Klimawandel und Energiewende wichtige Beiträge zur Öffentlichkeitsarbeit.']"
34,11,"['landseitig', 'klimabedingt', 'schiffbar', 'wichtigsten', 'debattieren', 'thema', 'stattfindet', 'probleme', 'sollten', 'sozialen', 'darüber', 'niedrigwasserbericht']","['Dort hatten wir als Linksfraktion zwei Beispiele genannt, wo Klimaschutz zu einem der wichtigsten sozialen Probleme wird.', 'Wir sollten darüber debattieren in dem Wissen darum, dass in den sächsischen Binnenhäfen bereits jetzt der Frachtumschlag fast nur noch landseitig stattfindet und die Elbe klimabedingt immer weniger schiffbar wird.', 'Wir sollten darüber debattieren in dem Wissen darum, dass in den sächsischen Binnenhäfen bereits jetzt der Frachtumschlag fast nur noch landseitig stattfindet und die Elbe klimabedingt immer weniger schiffbar wird.']"
35,10,"['klimafonds', 'euro', 'doppelhaushalt', '2021', 'steuerzahlerkosten', 'aufgestockt', 'multimillionen', 'grünes', 'milliarden', '2022', 'sächsische', 'budgets']","['Nun soll der Klimafonds in den nächsten zwei Jahren um sage und schreibe weitere 29 Millionen Euro aufgestockt werden.', 'Der im letzten Doppelhaushalt 2021/2022 gegründete sächsische Klimafonds war schon damals ein grünes Multimillionen-Euro-Prestigeobjekt auf Steuerzahlerkosten.', 'Der im letzten Doppelhaushalt 2021/2022 gegründete sächsische Klimafonds war schon damals ein grünes Multimillionen-Euro-Prestigeobjekt auf Steuerzahlerkosten.']"
36,10,"['kommunalen', 'energie', 'festgelegt', 'klimaprogramm', 'koalitionsvertrag', 'verbesserungen', 'reformiert', 'neues', 'vorgelegten', 'maßnahmenprogramm', 'klimaschutzgesetz', 'klimaschutzprogramm']","['Von dieser Regierung gibt es noch nicht einmal ein neues Energie- und Klimaprogramm, in dem zum Beispiel die Pläne dafür festgeschrieben sind.', 'Zudem wurden im Koalitionsvertrag keine kommunalen Energie- und Klimaziele festgelegt.', 'Zudem wurden im Koalitionsvertrag keine kommunalen Energie- und Klimaziele festgelegt.']"
37,10,"['verkehrssektor', 'letzten', 'co2', 'sachsen', 'musik', 'emmissionsbereich', 'molekül', 'schadstoff', 'stagnieren', 'treibhauseinsparungen', 'ausstoßen', 'fliegen']","['Es ist so dringend, weil Sachsen in den letzten 20 Jahren so gut wie keine CO2- oder Treibhauseinsparungen vorgenommen hat.', 'Wir haben seit 20 Jahren unverändert hohe CO2-Emissionen in Sachsen.', 'Wir wollen in Punkt I zunächst erst einmal feststellen, dass der CO2-Anteil in Sachsen seit 20 Jahren leider unverändert hoch ist und es vor allem im Verkehrssektor zu gar keiner Minderung in den letzten 30 Jahren gekommen ist.']"
38,9,"['landesverwaltung', 'klimaneutrale', 'neutral', '85', 'geschäftsführer', 'balanceakt', 'firma', 'grundstoffindustrien', 'personalverantwortung', 'standortpolitik', 'profitablen', 'kunden']","['Wir möchten auch eine klimaneutrale Landesverwaltung.', 'Der Geschäftsführer des KMU mit einer Personalverantwortung für 85 Menschen muss sich jetzt entscheiden, wie er seine Firma in Zukunft CO2 neutral und dabei auch noch wirtschaftlich umbaut.', 'Wir möchten auch eine klimaneutrale Landesverwaltung.']"
39,9,"['lockdown', 'weder', 'ministerpräsident', 'gewarnt', 'steuergeldfinanzierte', 'haushaltsdebatte', 'technologiefeindliche', 'tragfähig', 'denkmuster', 'kampagnen', 'klimagerecht', 'energieund']","['Weder eignen sich die Formate, um den komplexen Themenfeldern energieund klimagerecht zu werden, noch sind technologiefeindliche, grüne Denkmuster tragfähig.', 'Weder eignen sich die in diesem Titel dargestellten Formate, um den komplexen Themenfeldern Energie und Klima gerecht zu werden, noch halten wir steuergeldfinanzierte PR-Kampagnen grüner Erzählweisen für notwendig.', 'Weder eignen sich die in diesem Titel dargestellten Formate, um den komplexen Themenfeldern Energie und Klima gerecht zu werden, noch halten wir steuergeldfinanzierte PR-Kampagnen grüner Erzählweisen für notwendig.']"
40,8,"['pariser', 'klimaschutzabkommen', 'unterzeichnet', 'vorindustriellen', '195', 'klimaabkommen', 'celsius', 'deutschland', 'länder', 'vertragspartnerinnen', 'temperaturunterschied', 'erdtemperatur']","['Mit dem Pariser Klimaabkommen haben sich 195 Vertragspartnerinnen und Vertragspartner, darunter auch Deutschland, dazu verabredet, den „Anstieg der durchschnittlichen Erdtemperatur deutlich unter 2 Grad Celsius über dem vorindustriellen Niveau zu halten und Anstrengungen zu unternehmen, den Temperaturunterschied auf 1,5 Grad Celsius über dem vorindustriellen Niveau zu halten.“', 'Europa, Deutschland und damit auch Sachsen haben das Pariser Klimaschutzabkommen unterzeichnet.', 'Europa, Deutschland und damit auch Sachsen haben das Pariser Klimaschutzabkommen unterzeichnet.']"
