Topic,Count,Representation,Representative_Docs
30,12,"['aufgehoben', 'aufgeschoben', 'amortisierung', 'hinfällig', 'cooling', 'drüber', 'gestiegen', 'unsäglichen', 'klimaargumenten', 'klimaschutzpotenzial', 'klimatisierte', 'vierstelligen']","['Kreative Ideen, wie zum Beispiel, gut klimatisierte Museen als Cooling Center auszustatten, fehlen in dem Antrag generell, da könnte man konkreter werden.', 'Und letztendlich ist diese Regelung auch völlig hinfällig, denn wenn wir uns ansehen, dass sich über kurz oder lang eine Amortisierung solcher Heizpilze überhaupt nicht abzeichnet – sie sind viel zu teuer bei den laufenden Kosten, die im vierstelligen Bereich pro Monat liegen –, und wir gleichzeitig wissen, dass aufgrund des Klimawandels die Regentage von 76 auf 91 gestiegen sind, dann ist die Anwendung dieser Heizpilze beim besten Willen nicht wirklich zu erwarten.', 'Dementsprechend muss ich sagen, habe ich ein bisschen Sorge, dass dieses Bestreben nach sozialem Klimaschutz ein bisschen vergessen wird im Laufe des Weges, weil sich andere Optionen anbieten, die ein bisschen günstiger zu haben sind.']"
31,12,"['alten', 'angesichts', 'gebrauchswasser', 'verspätet', 'zielverfehlungen', 'paradigmenwechsel', 'beiträgen', 'gehandelt', 'verspätung', 'erfolgte', 'einsparungsüberträgen', 'störende']","['Dabei waren die alten Ziele doch anscheinend schon zu hoch und wurden nur mit CO2-Zertifikaten, alten Einsparungsüberträgen und Corona erreicht – soweit man das weiß, denn das Monitoring funktioniert nicht wirklich.', 'Angesichts der Wichtigkeit und der guten Anmeldung dieses Themas war ich jetzt etwas irritiert, wie wenig Konkretes wirklich herausgekommen ist von Rot-Grün, denn rund um den Klimawandel haben wir natürlich erhebliche Probleme mit dem Wasser, sowohl Gebrauchswasser als auch Trinkwasser, denn wenn jetzt nicht gehandelt wird, kann es zu spät sein mit der Wasserversorgung.', 'An den Beiträgen von eben ist mir aufgefallen, dass offenbar immer noch nicht in allen Köpfen die Erkenntnis angekommen ist, wie tiefgreifend einerseits die Transformation ist, vor der wir stehen, und vor allem, wie falsch es wäre, jetzt scheinbar störende Maßnahmen, die dem Klima und der Umwelt dienen, fallenzulassen, und andererseits, welche Riesenchance sich hinter dieser notwendigen Transformation verbirgt.']"
32,12,"['autofahrer', 'verkehrsbereich', 'verkehrspolitik', 'klimaautobahnen', 'politmonstrum', 'bezirken', 'nerven', 'andersherum', 'wohnungsbaupolitik', 'neulich', 'freiheiten', 'lebenszeit']","['Mal abgesehen davon, dass die von Ihnen angestrebte Verkehrswende ein ideologisches Politmonstrum ist, das die Bürger nur noch weiter ihrer Freiheiten beraubt, sind auch Ihre E-Roller-Erwartungen völlig unangemessen und überzogen gewesen.', 'Sie mögen ja fachlich qualifiziert sein, was Verkehrspolitik oder Wohnungsbaupolitik angeht, aber letztlich sagen Sie immer wieder, das ist Ihre Kurzformel, Autofahrer oder Autos müssten weg von der Straße, weil sie CO2 ausstoßen.', 'Sie haben erst neulich ein entsprechendes Klimaschutzstärkungsgesetz verabschiedet, Sie unternehmen nichts gegen die Inflation, und die autofeindliche Verkehrspolitik in dieser Stadt ist nicht darauf ausgerichtet, dass Kunden einfach zu ihren Handwerkern und auch andersherum Handwerker zu ihren Kunden kommen können.']"
33,11,"['monitoring', 'funktionierendes', 'co2', 'klimaneutralität', '2045', 'nunmehr', 'wirkungen', 'sicherzustellen', 'gradlimit', 'regierungsbeteiligung', 'beigetragen', 'erfassen']","['Doch ein solches CO2-Monitoring gibt es auch nach nunmehr sechs Jahren grüner Regierungsbeteiligung nicht.', 'Die Debatte, dass wir in dieser Stadt eben kein funktionierendes CO2-Monitoring haben und eben nicht in der Lage sind, die Wirkungen und die Wirksamkeit von Maßnahmen tatsächlich zu erfassen, führen wir doch seit Jahren.', 'Wie groß der Einfluss der Coronapandemie auf die CO2-Emissionen war, können Sie nicht sagen, und auch nach über sieben Jahren haben Sie es nicht geschafft, ein halbwegs funktionierendes CO2-Monitoring zu entwickeln.']"
34,11,"['technologieoffenheit', 'technologie', 'erfolgreicher', 'funktionieren', 'einsetzen', 'verbrauchern', 'bürgerschaftsfraktion', 'technologieoffen', 'einbindung', 'zunehmender', 'effektiv', 'gezielten']","['Dann an der Stelle ist es doch wichtig, dass wir beim Klimaschutz darauf achten, dass wir die Dinge, die wir da anschieben – das gilt auch für die Maßnahmen ab 2030 –, technologieoffen gestalten, denn es nutzt nichts, wenn wir nur mit Verboten und mit einseitigen Dingen kommen, von denen Sie heute glauben, dass es auf jeden Fall wirken würde.', 'Erfolgreicher Klimaschutz kann nur funktionieren durch Technologieoffenheit, gezielte Anreize und im Einklang mit der Ökonomie, und dafür wird sich die CDU-Bürgerschaftsfraktion auch weiter einsetzen.', 'Erfolgreicher Klimaschutz kann nur funktionieren durch Technologieoffenheit, gezielten Anreizen unter breitem Einsatz marktwirtschaftlicher Instrumente sowie durch echte Einbindung der Gesellschaft.']"
35,10,"['gesprochen', 'mitmachen', 'vorhin', 'klimahysterie', 'senat', 'koalitionsklima', 'angepriesen', 'erbitterte', 'angespannt', 'sprach', 'gelaufen', 'kaschiert']","['Er hat vorhin von Klimahysterie gesprochen, die wir nicht mitmachen.', 'Der erbitterte Streit zwischen SPD und GRÜNEN im Hamburger Senat ist mittlerweile bundesweit bekannt, das Koalitionsklima lässt, milde gesprochen, zu wünschen übrig.', 'Herr Lorenzen von den GRÜNEN war wieder einmal beschämt und betroffen, weil die GRÜNEN, die nun seit vielen Jahren schon im Hamburger Senat sind, nicht geliefert haben an die Freunde von ""Fridays for Future"", weil die Politik nach ihrer Auffassung im Klimabereich versagt hat.']"
36,10,"['neubauer', 'kriminelle', 'klimaextremisten', 'nämlich', 'tyrannisieren', 'schänden', 'lahmlegen', 'grundgesetzdenkmal', 'ließ', 'verschleiern', 'klimamärtyrern', 'hierbei']","['Wenn Klimakleber den Kapitalismus und das System abschaffen wollen, die Hauptstadt lahmlegen, dann das Grundgesetzdenkmal schänden, Rettungswagen an Notfalleinsätzen hindern und andere schwere Straftaten begehen, dann sind es Aktivisten mit wichtigen Anliegen.', 'Wo Margot Honecker früher den Kindern rote Fahnen in die Hand drücken ließ, da führen heute Greta Thunberg und Luisa Neubauer die deutsche Jugend mit ihrer Klimapropaganda.', 'Warum stören sich Frau Thunberg und Frau Neubauer nicht daran, dass sich mehr als 30 000 Priester und Laienvertreter der Klimareligion per Flugzeug ins kuschelige warme Sharm el Sheikh nach Ägypten zum großen Tanz um das Klimakalb begaben?']"
37,10,"['nachfrage', 'landwirtschaft', 'klimaneutralen', 'feststellungen', 'ressourcenschonenden', 'agrarwende', 'platzsparender', 'ausgliederung', 'respekt', 'außengastronomie', 'parteipolitisches', 'megatrends']","['Sie fragt sich, wie sie mit globalen Megatrends, der Nachfrage nach klimaneutralen Produktionsprozessen und klimaneutralen Produkten, mithalten kann und wo die Grundlagen dafür herkommen sollen.', 'Es geht schlicht und ergreifend darum, die vorhandenen Potenziale moderner, effizienter, platzsparender und klimaneutraler Lieferungen auf der Letzten Meile zu heben, da, wo es geht und Sinn ergibt.', 'Bei allem Respekt, wenn man sich einmal den weltweiten Markt für alle größeren Güter mit großen energieeffizienten Produktionsweisen anschaut, sehen wir sehr klar, dass weltweit die Nachfrage danach steigt, dass Güter klimaneutral, möglichst energieeffizient und mit möglichst wenigen ökologischen Folgekosten produziert werden.']"
38,9,"['hätte', 'entschieden', 'coronapolitik', 'blaupause', 'bezirksamt', 'wohlstandsverlust', 'prognostiziere', 'schlimm', 'schädlichen', 'heutzutage', 'reden', 'vergessen']","['Wenn wir heutzutage über Verkehr reden, müssen wir über die Klimakrise reden, und da helfen uns keine Trippelschritte, es ist nicht die Lösung.', 'Als wenn es die Klimadebatte um den schädlichen Autoverkehr nie gegeben hätte.', 'Denn wie hätten Sie denn entschieden, wie hätte das Bezirksamt wohl entschieden, wenn hier jemand irgendetwas gegen Coronapolitik aufgefahren oder gesagt hätte, der Klimawandel sei gar nicht so schlimm?']"
39,9,"['zustimmung', 'konsens', 'unterstützen', 'akzeptiert', 'wissenschaftlicher', 'geholfen', 'mitzuwirken', 'ehrenamtlichen', 'freiwilliges', 'gruppen', 'jugendaustausch', 'klimaschutzstiftung']","['Ich danke der BUKEA, der Klimaschutzstiftung und den Ehrenamtlichen, dass sie diese Erzählung kontinuierlich aufzubrechen versuchen.', 'Ein Weg, der dazu führt, dass wir die Menschen mitnehmen, dass wir ambitionierte Klimaschutzziele auf der einen Seite formulieren und auf der anderen Seite aber auch die Maßnahmen bereitstellen, indem wir Anreize schaffen zum Mitmachen statt Verbote.', 'Als Sprecher für freiwilliges Engagement freue ich mich zu sehen, dass über 40 Gruppen und Akteure verschiedene Projekte auf die Beine gestellt haben, wie zum Beispiel, dass NGOs sich einbringen, um beim Jugendaustausch am Klimaschutz mitzuwirken.']"
